,question,answer
390,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , number0 tons of grain have spilled into the water . Only number1 tons of grain remain onboard . How many tons of grain did the ship originally contain ?","Let's denote the original amount of grain in the ship as ""x"" tons. We know that 49952 tons of grain have spilled into the water and only 918 tons remain onboard. 

Therefore, we can set up the equation: x - 49952 = 918.

To find the value of x, we need to isolate it on one side of the equation. Adding 49952 to both sides gives us:

x - 49952 + 49952 = 918 + 49952.

Simplifying this equation:

x = 50870.

Hence, the ship originally contained 50870 tons of grain.

#### 50870"
391,"Luke was putting his spare change into piles . He had number0 piles of quarters and number1 piles of dimes . If each pile had number2 coins in it , how many coins did he have total ?","To find the total number of coins Luke had, we need to calculate the number of quarters and dimes separately and then add them together.

Given:
Number of piles of quarters = 5
Number of piles of dimes = 5
Number of coins in each pile = 3

To find the total number of quarters, we can multiply the number of piles of quarters by the number of coins in each pile:
Total number of quarters = 5 piles * 3 coins/pile = 15 quarters

Similarly, to find the total number of dimes, we can multiply the number of piles of dimes by the number of coins in each pile:
Total number of dimes = 5 piles * 3 coins/pile = 15 dimes

Now, to find the total number of coins, we add the number of quarters and dimes together:
Total number of coins = Total number of quarters + Total number of dimes = 15 quarters + 15 dimes = 30 coins

Therefore, Luke had a total of 30 coins.

#### 30"
392,"Luke had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?","Luke had 47 pieces of clothing in total.
He put 17 of them in one load.
To find out how many pieces of clothing could go in each of the small loads, we need to subtract the number of pieces in the first load from the total number of pieces and then divide it by the number of small loads.

Total number of pieces - Number of pieces in first load = Number of pieces for small loads
47 - 17 = 30

Number of pieces for small loads / Number of small loads = Number of pieces per small load
30 / 5 = 6

Therefore, each small load can hold 6 pieces of clothing.

#### 6"
393,"Tiffany had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?","Tiffany had 6 pages of math homework and 4 pages of reading homework. Since each page had 3 problems on it, we can calculate the total number of math problems by multiplying the number of math pages (6) by the number of problems per page (3). Similarly, we can calculate the total number of reading problems by multiplying the number of reading pages (4) by the number of problems per page (3). To find the total number of problems Tiffany had to complete, we add these two quantities together.

Number of math problems = Number of math pages * Problems per page = 6 * 3 = 18
Number of reading problems = Number of reading pages * Problems per page = 4 * 3 = 12

Total number of problems = Number of math problems + Number of reading problems = 18 + 12 = 30

#### 30"
394,"If there are number0 bottle caps in a box and Linda puts number1 more bottle caps inside , how many bottle caps are in the box ?","To solve this problem, we need to understand the concept of addition in mathematics. The problem states that there are initially 7 bottle caps in a box, and then Linda adds 7 more bottle caps into the box. 

The operation Linda performs is an addition operation. In mathematics, when you add a number to another number, you increase the total by that number. So, if we start with 7 bottle caps and add 7 more, we end up with a total of 7 (initial bottle caps) + 7 (additional bottle caps) = 14 bottle caps.

Therefore, the total number of bottle caps in the box after Linda's action is 14.

#### 14"
395,"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?","To find out how many fleas perished, we need to subtract the number of fleas in Harry Hound's ears before cleaning from the total number of fleas. 

Given that Harry Hound had 36 fleas in his right ear and 85 fleas in his left ear, the total number of fleas before cleaning is:

36 + 85 = <<36 + 85 = 121>> 121

After cleaning out Harry Hound's ears, all the fleas would have perished. Therefore, the number of fleas that perished is equal to the total number of fleas before cleaning.

So, the answer is:

#### 121"
396,Donald has number0 oranges . He finds another number1 . How many oranges does Donald have in all ?,"Let's start by setting up the problem. 

Donald initially has << 4 >> oranges. 

Then, he finds another << 5 >> oranges. 

To find the total number of oranges Donald has, we add the initial number of oranges he had to the number of oranges he found:

 4 + 5 = << 4 + 5 = 9 >> 9 

So, Donald has a total of << 9 >> oranges. 

#### 9"
397,William has number0 bottle caps . He buys number1 more . How many bottle caps does William have in all ?,"To find the total number of bottle caps William has, we need to add the number of bottle caps he initially had to the number of bottle caps he bought.

William initially has 2 bottle caps.
He buys 41 more.

To find the total, we can add these two quantities:

2 + 41 = <<2 + 41 = 43>> 43

Therefore, William has a total of 43 bottle caps.

#### 43"
398,There are number0 crayons in the drawer . Mary took number1 crayons out of the drawer . How many crayons are there now ?,"To solve the math problem, we can use a simple subtraction operation. The problem states that there are 7 crayons in the drawer and Mary took 3 crayons out. Therefore, the number of crayons left in the drawer is calculated by subtracting the number of crayons Mary took from the total number of crayons in the drawer.

In mathematical terms, this is represented as:

<< 7 - 3 >>

Solving this operation gives us:

<< 4 >>

So, there are 4 crayons left in the drawer.

#### 4"
399,Alyssa picked number0 pears and Nancy picked number1 pears from the pear tree . How many pears were picked in all ?,"To find the total number of pears picked by Alyssa and Nancy, we need to add the number of pears each of them picked.

Alyssa picked 42 pears and Nancy picked 17 pears.

To find the total, we add these two numbers:

 42 + 17 = << 42 + 17 = 59 >> 59 

Therefore, a total of 59 pears were picked in all.

#### 59"
400,"At the arcade Edward won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?","Edward initially won 9 tickets. He then spent 4 tickets on a beanie, which means he would have 9 - 4 = 5 tickets left. 

Later, Edward won an additional 4 tickets. Adding these to the 5 tickets he had remaining, he would have a total of 5 + 4 = 9 tickets.

Therefore, Edward would have a total of 9 tickets. 

#### 9"
401,"While shopping , Emily bought number0 green towels and number1 white towels . If she gave her mother number2 of them , how many towels did Emily end up with ?","Emily initially bought 5 green towels and 30 white towels, so the total number of towels she bought is 5 + 30 = <<5 + 30 = 35>> 35 towels.
If she gave her mother 26 towels, then the number of towels Emily ended up with can be calculated by subtracting the number of towels given to her mother from the total number of towels she bought: 35 - 26 = <<35 - 26 = 9>> 9 towels.

#### 9"
402,"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?","To solve this problem, we need to understand the initial and final quantities of worksheets and then perform the necessary calculations to determine the total number of worksheets that the teacher has to grade.

1. The teacher initially had 6 worksheets to grade.
2. She graded 4 of them.
3. Then, another 18 worksheets were turned in.

Let's break it down step by step:

- The teacher initially had 6 worksheets. << 6 >> worksheets initially.
- She graded 4 of them. So, the number of worksheets left for her to grade is  6 - 4 = << 6 - 4 = 2 >> 2  worksheets.
- Then, another 18 worksheets were turned in. So, the total number of worksheets she now has to grade is the number of worksheets left from the first batch (<<2>>) plus the new worksheets (<<18>>).

Therefore, the total number of worksheets that the teacher has to grade is  2 + 18 = << 2 + 18 = 20 >> 20  worksheets.

#### 20"
